2019-11-08 15:27:34,160 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@61001b64: startup date [Fri Nov 08 15:27:34 CET 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-11-08 15:27:34,949 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Gustave\Desktop\M1\Cloud\apache-activemq-5.15.10-bin\apache-activemq-5.15.10\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-11-08 15:27:35,023 | INFO  | PListStore:[C:\Users\Gustave\Desktop\M1\Cloud\apache-activemq-5.15.10-bin\apache-activemq-5.15.10\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-11-08 15:27:35,148 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:DESKTOP-PQACNHD-58995-1573223255031-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-11-08 15:27:35,164 | INFO  | Listening for connections at: tcp://DESKTOP-PQACNHD:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 15:27:35,165 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 15:27:35,170 | INFO  | Listening for connections at: amqp://DESKTOP-PQACNHD:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 15:27:35,172 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 15:27:35,175 | INFO  | Listening for connections at: stomp://DESKTOP-PQACNHD:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 15:27:35,177 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 15:27:35,181 | INFO  | Listening for connections at: mqtt://DESKTOP-PQACNHD:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-11-08 15:27:35,182 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 15:27:35,188 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2019-11-08 15:27:35,260 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2019-11-08 15:27:35,323 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@2116b68b{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-11-08 15:27:35,402 | INFO  | Listening for connections at ws://DESKTOP-PQACNHD:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-11-08 15:27:35,403 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-11-08 15:27:35,404 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:DESKTOP-PQACNHD-58995-1573223255031-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-11-08 15:27:35,405 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-11-08 15:27:35,408 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: C:\Users\Gustave\Desktop\M1\Cloud\apache-activemq-5.15.10-bin\apache-activemq-5.15.10\bin\..\data\kahadb only has 12438 mb of usable space. - resetting to maximum available disk space: 12438 mb | org.apache.activemq.broker.BrokerService | main
2019-11-08 15:27:35,410 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: C:\Users\Gustave\Desktop\M1\Cloud\apache-activemq-5.15.10-bin\apache-activemq-5.15.10\bin\..\data only has 12438 mb of usable space. - resetting to maximum available disk space: 12438 mb | org.apache.activemq.broker.BrokerService | main
2019-11-08 15:27:36,092 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-11-08 15:27:36,093 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
